crop,rainfall,temperature,humidity,soil_ph,nitrogen,phosphorus,potassium,irrigation,yield
Paddy,700,28,75,6.5,75,40,45,80,4.5
Paddy,620,27,72,6.2,65,35,42,75,4.1
Paddy,800,29,80,6.7,85,45,50,85,5.0
Paddy,650,28,74,6.4,70,38,44,78,4.3
Paddy,750,30,78,6.6,80,42,48,82,4.8
Paddy,580,26,70,6.1,60,30,40,70,3.9
Paddy,900,29,82,6.8,90,50,55,90,5.2
Paddy,680,27,73,6.3,68,36,43,76,4.2
Paddy,720,28,76,6.5,76,41,46,80,4.6
Paddy,600,26,69,6.0,58,32,38,68,3.8
Maize,550,26,70,6.8,80,45,50,70,3.8
Maize,600,27,73,6.5,75,40,48,75,4.0
Maize,500,25,68,6.4,70,38,45,65,3.5
Maize,650,28,75,6.7,85,48,52,78,4.3
Maize,700,29,77,6.9,90,50,55,80,4.6
Maize,450,24,65,6.2,60,32,40,60,3.2
Maize,580,26,71,6.6,78,42,47,72,3.9
Maize,620,27,74,6.8,82,46,51,76,4.2
Groundnut,500,27,68,6.3,60,35,40,65,2.9
Groundnut,650,28,70,6.5,70,40,45,70,3.4
Groundnut,450,26,65,6.1,55,30,38,60,2.6
Groundnut,550,27,69,6.4,65,37,42,68,3.1
Groundnut,700,29,72,6.6,75,43,48,75,3.6
Groundnut,400,25,63,6.0,50,28,35,55,2.4
Groundnut,600,28,71,6.5,68,39,44,72,3.3
Groundnut,750,30,74,6.7,78,45,50,78,3.8
Cotton,700,30,65,6.8,80,35,45,75,3.2
Cotton,600,29,62,6.5,70,32,42,68,2.9
Cotton,800,31,68,7.0,90,40,50,82,3.6
Cotton,550,28,60,6.4,65,30,40,65,2.7
Cotton,750,30,66,6.9,85,38,48,78,3.4
Cotton,650,29,64,6.7,75,34,44,72,3.0
Cotton,850,32,70,7.1,95,42,52,85,3.8
Cotton,500,27,58,6.2,60,28,38,60,2.5
